Date,Open,High,Low,Close,Volume,Adj Close,stockName
2015-12-31,133.080002,133.570007,132.240005,132.25,3178700,131.526753,HD
2015-12-30,133.580002,134.059998,133.279999,133.350006,2484700,132.620743,HD
2015-12-29,133.369995,134.330002,133.279999,133.699997,3037400,132.96882,HD
2015-12-28,132.25,132.899994,131.889999,132.679993,2607200,131.954394,HD
2015-12-24,132.800003,133.479996,132.660004,132.899994,1517100,132.173192,HD
2015-12-23,132.490005,133.339996,131.880005,133.110001,3244800,132.382051,HD
2015-12-22,131.369995,132.279999,130.460007,131.880005,3401900,131.158781,HD
2015-12-21,131,131.610001,130.179993,131.309998,3414800,130.591891,HD
2015-12-18,130.729996,131.309998,130.009995,130.289993,9840600,129.577465,HD
2015-12-17,133.059998,133.539993,131,131.350006,4345800,130.631681,HD
2015-12-16,132.169998,133.279999,130.360001,132.899994,4711700,132.173192,HD
2015-12-15,132.619995,133.490005,131.190002,131.289993,4911600,130.571996,HD
2015-12-14,131.089996,132.130005,130.710007,132.009995,5960100,131.28806,HD
2015-12-11,132.539993,132.539993,130.309998,130.440002,5300800,129.726654,HD
2015-12-10,131.960007,133.589996,131.800003,132.539993,4185600,131.81516,HD
2015-12-09,133.210007,134.779999,131.509995,131.899994,5055600,131.178661,HD
2015-12-08,132.710007,134.559998,132.410004,133.839996,4731400,133.108054,HD
2015-12-07,134,134.789993,133.190002,133.929993,5444300,133.197558,HD
2015-12-04,131.550003,134.830002,131.350006,134.529999,5387100,133.794283,HD
2015-12-03,133.520004,134.119995,130.800003,130.929993,6688000,130.213965,HD
2015-12-02,134.559998,134.649994,133.570007,133.809998,5022700,133.078219,HD
2015-12-01,133.520004,134.630005,133.259995,134.429993,5267600,133.694824,HD
2015-11-30,135.199997,135.320007,133.009995,133.880005,8057900,132.561068,HD
2015-11-27,134.809998,135.470001,134.529999,134.740005,3337700,133.412596,HD
2015-11-25,133.690002,135.240005,133.550003,134.649994,5300900,133.323471,HD
2015-11-24,131.929993,133.929993,131.740005,133.600006,6672700,132.283828,HD
2015-11-23,130.210007,132.639999,130.210007,132.5,6329700,131.194658,HD
2015-11-20,127.360001,130.210007,127.089996,130.210007,8191900,128.927225,HD
2015-11-19,126.529999,127.620003,125.949997,126.860001,4662200,125.610222,HD
2015-11-18,126.440002,126.730003,124.660004,126.540001,6502000,125.293375,HD
2015-11-17,124.860001,126.339996,123.099998,126.18,10517100,124.936921,HD
2015-11-16,120.050003,121.029999,118.610001,120.839996,7785700,119.649525,HD
2015-11-13,123.099998,123.25,119.900002,120,8728800,118.817804,HD
2015-11-12,124.18,124.970001,123.059998,123.809998,4285700,122.590267,HD
2015-11-11,125.43,125.43,124.519997,124.709999,3240200,123.481402,HD
2015-11-10,124.489998,125.410004,124.040001,125.260002,3872900,124.025986,HD
2015-11-09,125.800003,126.120003,123.709999,124.5,4988800,123.273472,HD
2015-11-06,125.269997,126.110001,124.82,125.980003,3752000,124.738894,HD
2015-11-05,125.459999,126.010002,124.949997,125.720001,3059400,124.481454,HD
2015-11-04,125.480003,125.870003,124.620003,125.379997,4101200,124.144799,HD
2015-11-03,124.230003,126.040001,123.809998,125.660004,4313700,124.422047,HD
2015-11-02,124.239998,124.639999,123.379997,124.410004,3715600,123.184362,HD
2015-10-30,123.269997,124.75,123.269997,123.639999,4991500,122.421943,HD
2015-10-29,123.419998,124.07,122.75,123.629997,4635300,122.41204,HD
2015-10-28,124.379997,124.589996,122.220001,123.82,6821500,122.60017,HD
2015-10-27,124.510002,125.089996,123.82,124.470001,3674800,123.243768,HD
2015-10-26,124.550003,125.660004,124.019997,125.010002,4550200,123.778449,HD
2015-10-23,125.010002,125.75,122.970001,124.610001,5281600,123.382388,HD
2015-10-22,123.900002,124.480003,122.879997,124.360001,5855300,123.134851,HD
2015-10-21,123.290001,124.019997,122.75,123.300003,3491800,122.085296,HD
2015-10-20,122.889999,123.169998,122.349998,122.849998,3318400,121.639725,HD
2015-10-19,122.610001,123.199997,122.199997,123.099998,3097700,121.887262,HD
2015-10-16,121.629997,122.82,121.629997,122.739998,4052900,121.530808,HD
2015-10-15,120.620003,122.029999,120.400002,121.809998,3448900,120.60997,HD
2015-10-14,121.330002,121.879997,119.559998,120.269997,5200400,119.085141,HD
2015-10-13,121.769997,122.290001,121.139999,121.610001,2971400,120.411943,HD
2015-10-12,121.489998,122.449997,121,121.900002,2861900,120.699087,HD
2015-10-09,121.269997,121.5,120.470001,121.330002,3893500,120.134703,HD
2015-10-08,119.309998,121.230003,119.150002,121.059998,4958200,119.867359,HD
2015-10-07,119.199997,119.839996,118.489998,119.650002,4680100,118.471253,HD
2015-10-06,119.099998,119.199997,117.970001,118.68,5275400,117.510808,HD
2015-10-05,118.75,119.290001,117.910004,119.199997,4528700,118.025682,HD
2015-10-02,115.559998,117.900002,114.709999,117.809998,4359800,116.649377,HD
2015-10-01,116.230003,117.129997,114.739998,117.029999,5215200,115.877062,HD
2015-09-30,114.370003,115.629997,114,115.489998,5395600,114.352233,HD
2015-09-29,114.209999,114.93,111.800003,112.910004,7908800,111.797656,HD
2015-09-28,116.529999,117.379997,113.849998,114.099998,5994600,112.975927,HD
2015-09-25,117.230003,118.169998,116.040001,116.739998,5478900,115.589918,HD
2015-09-24,115.339996,116.650002,114.839996,116.339996,5172300,115.193857,HD
2015-09-23,115.849998,116.550003,115.660004,116.169998,4084900,115.025534,HD
2015-09-22,115.400002,116.389999,114.889999,115.800003,4631600,114.659184,HD
2015-09-21,115.959999,117.110001,115.269997,116.580002,5201100,115.431498,HD
2015-09-18,116.510002,117.199997,114.980003,115.120003,11366700,113.985883,HD
2015-09-17,118.330002,119.82,117.269997,117.910004,6607100,116.748397,HD
2015-09-16,116.080002,118.029999,115.970001,117.82,5285100,116.65928,HD
2015-09-15,114.779999,116.629997,113.900002,116.18,4994000,115.035437,HD
2015-09-14,115.5,115.68,114.419998,114.730003,4248700,113.599725,HD
2015-09-11,113.970001,115.459999,113.699997,115.440002,4472800,114.30273,HD
2015-09-10,114,115.410004,113.690002,114.489998,5259100,113.362084,HD
2015-09-09,117.110001,117.470001,113.699997,113.970001,5316400,112.84721,HD
2015-09-08,115.690002,116.639999,114.730003,116.43,5775800,115.282974,HD
2015-09-04,114.68,115.690002,113.489998,114.419998,5752000,113.292774,HD
2015-09-03,117.029999,118.080002,116.18,116.599998,5302900,115.451298,HD
2015-09-02,114.830002,116.480003,114.32,116.480003,6487400,115.332485,HD
2015-09-01,113.989998,114.75,112.559998,113.07,7392900,111.956075,HD
2015-08-31,117.010002,117.489998,115.93,116.459999,5444500,114.72849,HD
2015-08-28,117.43,118.459999,116.919998,117.519997,5016000,115.772728,HD
2015-08-27,117.5,118.089996,115.330002,117.660004,7579100,115.910653,HD
2015-08-26,114.059998,116.029999,112.080002,115.93,9313200,114.206371,HD
2015-08-25,117,117,110.889999,110.970001,10221100,109.320117,HD
2015-08-24,110.050003,115.879997,92.169998,112.540001,13983100,110.866774,HD
2015-08-21,119.540001,120.360001,116.150002,116.160004,10190700,114.432955,HD
2015-08-20,121.980003,122.529999,120.540001,120.540001,5555500,118.747831,HD
2015-08-19,122.669998,123.790001,122.129997,122.760002,6490300,120.934826,HD
